AD001~A~COLABA DEPOT~18.92168~72.83033~SHAHID BHAGAT SINGH ROAD, CUSROW BAUG COLONY, APOLLO BANDAR, COLABA, MUMBAI 400039~DEPOT~BEST~40~0
AD024~A~BACKBAY DEPOT~18.90987~72.81591~GANESH MURTI NAGAR, COLABA, MUMBAI 400005~DEPOT~BEST~119~0
AS001~A~COLABA BUS STATION~18.91177~72.82302~SHAHID BHAGAT SINGH ROAD, CUSROW BAUG COLONY, APOLLO BANDAR, COLABA, MUMBAI 400039~TERMINAL~BEST~10~0
ED002~E~CENTRAL DEPOT~18.96857~72.82425~MORLAND RD, MUMBAI CENTRAL, MUMBAI 400008~DEPOT~BEST~104~0
FND005~FN~ANIK DEPOT, PRATIKSHA NAGAR DEPOT~19.04559~72.87774~TOLL ROAD, ANIK, MUMBAI 400022~DEPOT~BEST~317~0
FNS011~FN~SION BUS STATION~19.04386~72.86376~SION, NEAR RANI LAXMIBAI CHOWK, MUMBAI 400022~TERMINAL~BEST~10~15
FNS012~FN~MAHESHWARI UDYAN BUS STATION~19.02855~72.85719~KING'S CIRCLE, MATUNGA, MUMBAI 400022~TERMINAL~BEST~10~10
FNS016~FN~ANTOP HILL BUS STATION~19.02598~72.86637~NEAR DOSTI ACRES, ANTOP HILL, MUMBAI 400037~TERMINAL~BEST~10~10
FSD004~FS~WADALA DEPOT~19.01432~72.85216~SAHAKAR NAGAR, WADALA, MUMBAI 400031~DEPOT~BEST~120~0
FSS006~FS~PRABODHANKAR THAKRE UDYAN STATION~18.99812~72.85243~ACHARY DONDHE MARG, SEWREE, MUMBAI 400015~TERMINAL~BEST~15~15
GSD003~GS~WORLI DEPOT~19.01357~72.82023~MUNICIPAL COLONY, SHIVAJI NAGAR, WORLI, MUMBAI 400030~DEPOT~BEST~106~0
GSS005~GS~AMBIKA BUS STATION~18.99024~72.82306~RAKHANGI CHOWK, SENAPATI BAPAT MARG, MUMBAI 400018~TERMINAL~BEST~15~15
GND009~GN~DHARAVI DEPOT, KALAKILLA DEPOT~19.05051~72.85854~DHARAVI PMGP RD, KALA QILA, DHARAVI, MUMBAI 400017~DEPOT~BEST~230~0
HES009~HE~BANDRA COLONY BUS STATION~19.06149~72.85071~GOVERNMENT COLONY, BANDRA(E), BEHIND NEW ADMN BLDG., BANDRA(E), MUMBAI 400051~TERMINAL~BEST~5~5
